"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills"
"tree_38" 4005.7632 8432.099 73192.897 376.1 0.690566037735849 -110.499187770261 0.889366199394901 0.0446033662555433 0.000141879755724748 4.12594774541142e-85 7.05714731395901e-193 0 1 1 0
"tree_39" 4005.7632 8271.699 73192.897 376.1 0.692452830188679 -106.49495706586 0.891568987853174 0.0454682889210548 7.63286153605194e-05 2.42645358822163e-85 1.69422279073954e-195 0 1 1 0
"tree_40" 4005.7632 8277.249 73192.897 376.1 0.692452830188679 -106.633507442477 0.891492769175222 0.0454378018590476 7.63286153605194e-05 2.47146592780406e-85 2.09074204071289e-195 0 1 1 0
"tree_41" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_42" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_43" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_44" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_45" 4005.7632 8272.349 73192.897 376.1 0.690566037735849 -106.511183686544 0.891560061341341 0.0454647162492782 0.000141879755724748 2.43168273977864e-85 1.73647841697296e-195 0 1 1 0
"tree_46" 4005.7632 8272.349 73192.897 376.1 0.690566037735849 -106.511183686544 0.891560061341341 0.0454647162492782 0.000141879755724748 2.43168273977864e-85 1.73647841697296e-195 0 1 1 0
"tree_47" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_48" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_49" 4005.7632 8272.349 73192.897 376.1 0.690566037735849 -106.511183686544 0.891560061341341 0.0454647162492782 0.000141879755724748 2.43168273977864e-85 1.73647841697296e-195 0 1 1 0
"tree_50" 4005.7632 8280.449 73192.897 376.1 0.690566037735849 -106.71339234431 0.891448823270818 0.0454202423081164 0.000141879755724748 2.4977965234112e-85 2.36013341945195e-195 0 1 1 0
"tree_51" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_52" 4005.7632 8285.849 73192.897 376.1 0.690566037735849 -106.848198116154 0.891374664557135 0.0453906413211247 0.000141879755724748 2.54286537771527e-85 2.89549307657799e-195 0 1 1 0
"tree_53" 4005.7632 8274.349 73192.897 376.1 0.690566037735849 -106.56111175019 0.891532595151089 0.0454537269336838 0.000141879755724748 2.44784303964694e-85 1.87320241900081e-195 0 1 1 0
"tree_54" 4005.7632 8313.349 73192.897 376.1 0.692452830188679 -107.534708991285 0.890997004441159 0.0452404921289844 7.63286153605194e-05 2.78527725084194e-85 8.18738912878576e-195 0 1 1 0
